uri,dc.identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
collectie:interpretatietype,be.vlaanderen.bodemenondergrond.data.id.collection.interpretatietype.interpretatietype,,,Collectie van interpretatietype.,,,,,,,,,,,,,conceptscheme:interpretatietype,,,,,,,
concept:1,be.vlaanderen.bodemenondergrond.data.id.concept.interpretatietype.1,collectie:interpretatietype,1,Informele stratigrafie,,,,,,,,,,,,,conceptscheme:interpretatietype,,,,,,,conceptscheme:interpretatietype
concept:2,be.vlaanderen.bodemenondergrond.data.id.concept.interpretatietype.2,collectie:interpretatietype,2,Formele stratigrafie,,,,,,,,,,,,,conceptscheme:interpretatietype,,,,,,,conceptscheme:interpretatietype
concept:3,be.vlaanderen.bodemenondergrond.data.id.concept.interpretatietype.3,collectie:interpretatietype,3,Lithologische beschrijving,,,,,,,,,,,,,conceptscheme:interpretatietype,,,,,,,conceptscheme:interpretatietype
concept:4,be.vlaanderen.bodemenondergrond.data.id.concept.interpretatietype.4,collectie:interpretatietype,4,Gecodeerde lithologie,,,,,,,,,,,,,conceptscheme:interpretatietype,,,,,,,conceptscheme:interpretatietype
concept:6,be.vlaanderen.bodemenondergrond.data.id.concept.interpretatietype.6,collectie:interpretatietype,6,Quartaire stratigrafie,,,,,,,,,,,,,conceptscheme:interpretatietype,,,,,,,conceptscheme:interpretatietype
concept:8,be.vlaanderen.bodemenondergrond.data.id.concept.interpretatietype.8,collectie:interpretatietype,8,Geotechnische codering,,,,,,,,,,,,,conceptscheme:interpretatietype,,,,,,,conceptscheme:interpretatietype
concept:9,be.vlaanderen.bodemenondergrond.data.id.concept.interpretatietype.9,collectie:interpretatietype,9,Informele hydrostratigrafie,,,,,,,,,,,,,conceptscheme:interpretatietype,,,,,,,conceptscheme:interpretatietype
concept:5,be.vlaanderen.bodemenondergrond.data.id.concept.interpretatietype.5,collectie:interpretatietype,5,Hydrogeologische stratigrafie (HCOVv1),,,,,,,,,,,,,conceptscheme:interpretatietype,,,,,,,conceptscheme:interpretatietype
concept:11,be.vlaanderen.bodemenondergrond.data.id.concept.interpretatietype.11,collectie:interpretatietype,11,Hydrogeologische stratigrafie (HCOVv2),,,,,,,,,,,,,conceptscheme:interpretatietype,,,,,,,conceptscheme:interpretatietype
conceptscheme:interpretatietype,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.interpretatietype,,,Lijst van interpretatietypes,,,,,,,,,,,,,,,,,,,,
